"Study","T.1","Mean.1","SD.1","N.1","T.2","Mean.2","SD.2","N.2","covar.age"
1,"Placebo",2.2,2.5,50,"Glucocorticoids",1.9,2.4,62,45
2,"Placebo",2,3.7,45,"Glucocorticoids",2,2.8,92,75.5
3,"Placebo",1.4,1.6,88,"Glucocorticoids",1.4,1.7,78,71.3
4,"Placebo",2.9,2.5,47,"Glucocorticoids",2.6,2.4,46,54.5
5,"Placebo",5.4,3.6,52,"Ketamine",3,3.5,43,56
6,"Placebo",1,1.5,84,"Ketamine",1,1.5,84,50.2
7,"Placebo",0,0.2,34,"Ketamine",0,0.7,33,64.5
8,"Placebo",0,0.1,35,"Ketamine",0,0.3,34,60.2
9,"Placebo",4,3.3,66,"Ketamine",4,2.2,73,66.5
10,"Placebo",0.3,0.7,19,"Ketamine",1.1,2.1,18,60
11,"Placebo",0.5,3.7,6,"Ketamine",2,1.7,8,55.3
12,"Placebo",1.3,1.5,47,"Ketamine",1.4,1.4,31,49.5
13,"Placebo",0,1.9,24,"Ketamine",0,0.7,25,38.5
14,"Placebo",1.5,4.4,17,"Ketamine",0.3,3,15,68.8
15,"Placebo",1,1.7,35,"Ketamine",0.7,1.4,33,64.8
16,"Placebo",4,2.1,42,"Ketamine",4.3,2.5,49,47.6
17,"Placebo",2,1.5,62,"Ketamine",2,1.5,118,57
18,"Placebo",1.5,2.2,22,"Ketamine",0,1.5,22,66
19,"Placebo",3.4,3,7,"Ketamine",2.4,1.1,8,61.7
20,"Placebo",1,1.8,25,"Ketamine",0.5,1.7,55,52.5
21,"Placebo",0.1,0.7,38,"Ketamine",0.2,0.7,39,48.3
22,"Placebo",0.8,1.1,30,"Ketamine",0.8,0.9,31,63.8
23,"Placebo",3.4,1.6,10,"Gabapentinoids",3.1,1.7,21,60.2
24,"Placebo",0,0.7,53,"Gabapentinoids",0,0.7,65,60.2
25,"Placebo",0.6,0.9,20,"Gabapentinoids",0.2,0.4,20,60.1
26,"Placebo",0.6,0.1,35,"Gabapentinoids",0.5,0.9,27,41.5
27,"Placebo",2.2,1.4,22,"Gabapentinoids",2.6,1.7,23,65
28,"Placebo",2.5,1,4,"Gabapentinoids",3,0.8,2,34.5
29,"Placebo",1.2,1.5,30,"Gabapentinoids",0.5,0.9,60,47.7
30,"Placebo",2.2,0.9,50,"Gabapentinoids",2.1,1.2,50,43.5
31,"Placebo",0.2,0.1,20,"Gabapentinoids",0.1,0.1,20,56.9
32,"Placebo",2,1.5,29,"Gabapentinoids",1,0.6,30,24
33,"Placebo",1.1,1.5,24,"Gabapentinoids",0.9,1.2,17,40
34,"Placebo",3,1.9,49,"Gabapentinoids",2,1.5,50,62.4
35,"Placebo",2,2.5,28,"Gabapentinoids",1.8,2,83,66.5
36,"Placebo",3.4,1.4,100,"Gabapentinoids",2.5,1.2,100,50.9
37,"Placebo",1.9,2,24,"Gabapentinoids",1.5,1.9,22,43.5
38,"Placebo",0,0.7,48,"Gabapentinoids",0,2.1,52,50.5
39,"Placebo",3,0.8,31,"Gabapentinoids",2,0.5,62,67.1
40,"Placebo",1.5,2,20,"Gabapentinoids",1.1,1.6,18,39.1
41,"Placebo",0.5,1.5,18,"Gabapentinoids",1,1.5,16,70.3
42,"Placebo",0,0.7,46,"Gabapentinoids",0,0.7,46,68.5
43,"Placebo",1.5,2.8,27,"Gabapentinoids",1.3,2.2,27,52.1
44,"Placebo",0.03,0.2,35,"Gabapentinoids",0.4,0.9,70,43.1
45,"Placebo",1.2,1.7,76,"Gabapentinoids",1.4,1.7,75,62.9
